Year,Country,Country Code,Access to electricity (% of population) [EG.ELC.ACCS.ZS],"Adjusted net enrollment rate, primary (% of primary school age children) [SE.PRM.TENR]",Adjusted net national income (annual % growth) [NY.ADJ.NNTY.KD.ZG],Adjusted net national income (constant 2015 US$) [NY.ADJ.NNTY.KD],Adolescents out of school (% of lower secondary school age) [SE.SEC.UNER.LO.ZS],"Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]",Adults (ages 15-49) newly infected with HIV [SH.HIV.INCD],Armed forces personnel (% of total labor force) [MS.MIL.TOTL.TF.ZS],Bank capital to assets ratio (%) [FB.BNK.CAPA.ZS],Children out of school (% of primary school age) [SE.PRM.UNER.ZS],"Contributing family workers, total (% of total employment) (modeled ILO estimate) [SL.FAM.WORK.ZS]",Consumer price index (2010 = 100) [FP.CPI.TOTL],Control of Corruption: Estimate [CC.EST],Cost of business start-up procedures (% of GNI per capita) [IC.REG.COST.PC.ZS],Coverage of social insurance programs (% of population) [per_si_allsi.cov_pop_tot],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"Current education expenditure, total (% of total expenditure in public institutions) [SE.XPD.CTOT.ZS]","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) [SE.TER.CUAT.BA.ZS]","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative) [SE.SEC.CUAT.UP.ZS]","Employment to population ratio, 15+, total (%) (modeled ILO estimate) [SL.EMP.TOTL.SP.ZS]",Expense (% of GDP) [GC.XPN.TOTL.GD.ZS],Gross savings (% of GDP) [NY.GNS.ICTR.ZS],Gross national expenditure (% of GDP) [NE.DAB.TOTL.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate) [SL.TLF.ACTI.1524.ZS]","Labor force, total [SL.TLF.TOTL.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Maternal mortality ratio (modeled estimate, per 100,000 live births) [SH.STA.MMRT]",Merchandise exports (current US$) [TX.VAL.MRCH.CD.WT],Merchandise imports (current US$) [TM.VAL.MRCH.CD.WT],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%) [SH.DYN.NCOM.ZS]",Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],Unemployment with advanced education (% of total labor force with advanced education) [SL.UEM.ADVN.ZS],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]",Access to clean fuels and technologies for cooking (% of population) [EG.CFT.ACCS.ZS],"Cause of death, by injury (% of total) [SH.DTH.INJR.ZS]","Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]",Control of Corruption: Number of Sources [CC.NO.SRC]
2015,Australia,AUS,100,97.10963,,1.06011E+12,0.045030002,12.322,1000,0.460321336,5.317317597,0.02813,0.368769075,112.0447451,1.841353893,0.7,,10.18361282,92.33827209,29.77977943,75.5475769,61.07,26.75485757,22.65198716,101.4779659,1.508366722,-0.622921249,0.990754227,67.261,12556446,82.4,5,1.87684E+11,2.08501E+11,29.30863306,1.953633592,9.3,0.873180687,3.55,6.06,6.055,100,5.857024958,46.46578853,11
2015,Austria,AUT,100,88.62591,0.535429018,3.0951E+11,1.336420059,7.913,,0.475461509,5.37707549,1.341920018,1.608280872,110.6885818,1.472380042,5.3,,10.36746693,94.51020813,13.08166981,79.01290131,57.113,46.268451,25.65331339,96.25004825,0.896563335,2.300978667,0.509116601,56.499,4490374,81.1902439,6,1.52728E+11,1.56046E+11,80.83699546,0.698116413,11.6,1.129330516,3.953,5.8,5.802,100,5.377562845,95.08426588,10
2015,Azerbaijan,AZE,100,94.26275,,43038971195,9.793910027,63.093,500,1.771241224,,1.156669974,34.27616608,117.7333333,-0.952501655,1.7,50.61209719,4.10663605,97.81658936,15.68778992,88.66507721,60.287,24.78870908,28.12190501,97.01195292,4.027685737,-8.849692569,2.139204419,37.522,4626699,71.451,29,16592000000,9217000000,48.62628223,5.464876793,28.4,-0.73391664,5.19,4.96,4.96,96.8,4.373241295,,11
2015,"Bahamas, The",BHS,100,79.96521,3.489777723,10367560246,,30.622,200,0.586039634,,,0.325290713,109.6029778,1.097775936,10.8,,5.14505529,,,,64.789,16.29570631,19.76288488,101.0879901,1.861483029,5.311787599,37.17874445,53.28,221828,73.104,84,521000000,2954000000,29.7698087,,19.4,0.894982457,,12,12,100,12.45352542,48.29444268,4
2015,Bahrain,BHR,100,98.02753,2.538007563,23408567787,2.213390112,14.492,100,2.531994733,,0.396230012,0.450630725,110.5290422,0.107048586,0.8,,4.97671938,,,,70.03,,23.59933328,88.71695515,1.848627424,-9.255156915,0.220241355,43.245,768564,79.405,16,16540000000,12408000000,93.22835725,4.644111349,16.4,-1.068262696,,1.166,,100,9.96066556,,6
2015,Bangladesh,BGD,74.00247192,,5.986151905,1.90332E+11,,83.664,1200,0.356314268,5.724726566,,15.77176746,144.5588509,-0.84402591,14,,2.72187114,,8.237139702,28.56217957,53.824,9.00588487,36.73377423,106.7282191,6.19428023,5.872777041,2.556548193,38.874,62009866,70.491,212,32379000000,42047000000,38.15180661,1.208517107,18.6,-1.209773779,,4.379,,18.1,7.488485298,,13
2015,Barbados,BRB,100,95.84843,,3991714767,0.066760004,41.555,100,0.422387946,,3.732029915,0.064483937,117.210285,1.447863221,7.1,,6.7748456,,,,57.692,35.14969806,5.428905101,107.1144909,-1.112789925,-1.820910656,11.14775085,42.368,144417,76.65,49,483000000,1618000000,44.38107309,,15.6,1.116827726,5.232,9.8,9.803,100,4.841707133,141.1599835,4
2015,Belarus,BLR,97.37328339,94.25545,-4.575167608,45644199339,5.433410168,17.837,1800,3.083888401,9.93939164,4.584589958,0.031166938,387.0939452,-0.315779865,0.9,49.69061231,6.06533289,95.23313141,,,60.886,28.1104398,28.90847195,96.83350017,13.53448976,16.02323933,3.360613751,47.637,5123402,73.62439024,1,26758000000,29941000000,100.4323998,1.257482359,24.7,0.110905699,,5.878,1,99.3,6.403379469,37.5980986,10
2015,Belgium,BEL,100,98.38347,2.37614399,3.81065E+11,1.633350015,6.862,,0.72851575,5.68502315,1.851240039,0.894228963,108.6296921,1.474696517,5,,10.77388,94.96034241,31.70948029,66.21057892,48.789,41.59458068,25.00867822,98.58198221,0.561429153,1.330386128,,30,4989597,80.99268293,5,3.96841E+11,3.7553E+11,167.0585268,0.909284202,11.5,0.577092111,4.592,8.48,8.482,100,6.200559516,108.5913087,11
2015,Belize,BLZ,91.8,99.28398,10.41135562,1767906856,10.6151104,69.786,200,0.95650455,,0.381480008,4.278499179,103.788948,-0.209245667,34.2,,5.891294,,2.569250107,32.59412003,59.029,20.60159529,23.97742683,91.53316637,-0.861584009,0.047314442,33.06740471,47.154,156821,73.187,49,538000000,991000000,69.66754064,0.892029622,16.4,0.037259512,5.347,7.58,7.578,83.4,18.85720109,,6
2015,Benin,BEN,29.62,,3.151808599,10210946434,,95.516,2100,0.234814487,,,0.873279544,109.7368848,-0.563475013,45.4,,2.67942166,91.6901474,,,65.608,,13.86203005,107.3153365,0.218785924,0.851504261,,37.026,4152214,59.377,591,1682000000,2561000000,37.25799101,0.798484705,23.5,-0.020496422,,1.811,,5,8.994440258,,13
2015,Bermuda,BMU,100,,,,,8.902,,,,,,,1.151810765,,,,98.53227997,,,,,39.94720496,73.05014726,,2.95202007,6.334726973,,,80.918,,22000000,934000000,14.36612984,,,0.961817384,,,,,,,1
2015,Bhutan,BTN,95.3597641,90.13416,4.954502917,1625361112,13.95635986,29.516,100,,17.6113939,11.37946987,35.5322276,148.6607225,0.989677846,4,,3.75701189,85.99127197,,,61.593,19.55808996,23.39981298,129.0096566,4.548143951,3.557068165,1.614478644,29.561,342466,70.343,74,549000000,1061000000,80.35548713,,18.9,0.960772634,13.74,2.45,2.45,77.7,9.087785137,88.50268416,9
2015,Bolivia,BOL,91.522822,88.70123,4.84949894,27893798724,,70.233,1500,1.430065192,7.037981132,,14.44572233,133.6511464,-0.717430353,51.1,6.732845149,6.55064964,86.64228058,22.33324051,42.16999817,64.994,,14.21692538,106.1962531,4.059610411,-4.620602258,4.896265227,44.076,4978794,67.318,165,8726000000,9766000000,56.036027,1.759435915,18.2,-0.270498693,3.77,3.11,3.111,82.4,8.878784227,,14
2015,Bosnia and Herzegovina,BIH,99.7,,5.217463129,13651574238,8.249750137,10.862,,0.757677984,10.07751411,11.35278988,3.546095752,,-0.417167664,23.9,40.1629567,9.35174561,,7.549160004,60.82957077,33.488,36.4782077,11.74786426,122.9652191,,1.365730709,1.617331437,31.826,1385813,76.182,7,5098000000,8986000000,85.8552821,1.000613801,19.2,-0.404167622,20.455,27.69,27.695,42.6,4.198070087,,12
2015,Botswana,BWA,62.13,,-5.841070546,10484405173,,54.22,9700,0.960524574,8.524321018,,3.551647288,132.882568,0.78125155,0.7,3.767816613,6.10287762,,,,50.139,31.24309418,31.3073044,106.0804454,3.062031696,3.730317376,,36.872,936988,63.818,184,6316000000,7238000000,100.1718394,2.825194499,29.7,1.031368256,,18.878,,62.3,9.53532,19.08697767,13
2015,Brazil,BRA,99.710902,96.85231,-5.549332611,1.34452E+12,4.433119774,62.434,,0.718902224,7.689725606,4.412439823,2.65090501,138.3886146,-0.457372844,4.8,30.53531192,8.90930176,96.0512619,,43.72999954,58.361,36.92441983,14.52934718,101.1532431,9.029901024,7.566175012,28.35640577,54.93,101474161,74.332,62,1.86782E+11,1.8046E+11,20.37728957,1.365517154,16.2,-0.331864446,5.079,8.54,8.538,95.6,12.45394237,67.53755403,12
2015,British Virgin Islands,VGB,100,,,,0.557529986,17.99,,,,0.027009999,,,,,,,,,,,,,,,,,,,75.675,,,,,,,,,,,,,,
2015,Brunei Darussalam,BRN,100,96.49142,-10.01253471,10647352234,1.725347281,11.525,,4.526503288,10.95111112,0.651773751,0.471768123,99.94112012,0.534770489,1.2,,2.38708901,,,,59.057,,57.1183128,80.09308977,-0.488347421,-17.61280313,,40.509,204352,74.75,45,6353000000,3229000000,74.10505795,3.279290461,18.5,1.233712554,,7.683,,100,5.813970086,,3
2015,Bulgaria,BGR,96.58468628,91.9879,2.172056921,41775029209,5.688759804,39.2,200,1.418937141,12.01590157,3.342200041,0.644772627,106.6073072,-0.345705241,1.4,,7.3912921,,24.47097969,74.91266632,49.128,34.34870484,22.20772899,99.12121043,-0.104633261,2.947745873,1.72384225,25.947,3333481,74.61463415,8,25371000000,29205000000,107.4077081,1.24553912,24.3,0.010424642,3.954,9.14,9.143,,2.708720282,30.85108005,14
2015,Burkina Faso,BFA,16.15320015,69.95995,5.564764915,10198918189,42.94832993,122.57,2100,0.171337009,,32.26116943,40.24053728,107.7512966,-0.298838139,43.5,,5.13192415,,,,62.605,13.19749344,11.85934407,106.8738902,0.724838981,-2.223954179,0.646029931,51.413,6682736,58.845,295,2176000000,3080000000,44.42130857,1.250780702,24.8,-0.609127343,,4.526,,8.2,9.925487759,,14
2015,Burundi,BDI,7.890114784,,13.79965585,2232109160,30.99643135,60.503,1600,0.905862143,13.45261723,8.184432983,39.94770072,154.0235683,-1.28679204,13.4,,6.29022646,,,,78.11,,11.28472542,110.0037502,5.544688913,21.31874702,4.297507394,53.159,4526075,60.217,514,121000000,857000000,31.50769596,2.131319915,25.8,-1.937446117,,1.517,,0.2,11.92503456,,12
2015,Cabo Verde,CPV,86.42112732,93.38192,3.070285299,1358100076,15.03567028,64.655,200,0.51780829,,9.868189812,11.51369313,108.6245263,0.929523051,14.8,,4.82334137,96.35610962,6.926159859,20.03713036,52.091,25.97714499,28.52108584,111.7376255,0.131187999,1.620407559,8.330828048,37.738,231746,74.62,47,67000000,604000000,38.34597696,0.558982326,14.8,0.855819821,20.123,11.954,31.313,75.3,16.1055877,,9
2015,Cambodia,KHM,62.7206459,95.56259,7.216453827,15523898757,12.54034996,49.999,1300,2.510302673,13.77275303,5.231480122,3.630193994,117.4974456,-1.153123736,59.6,,6.19431591,,,9.29681015,71.245,12.04554635,21.34202868,104.6561256,1.223931955,1.786112458,,60.829,7620595,69.873,209,8542000000,13261000000,120.7925497,1.801622621,22.8,0.063348144,,0.39,0.393,20.8,9.091817695,,13
2015,Cameroon,CMR,58.62038803,95.19802,5.396285039,26126342418,34.84761047,118.841,19000,0.248681351,5.258271629,4.767859936,14.09847058,112.8675036,-1.0961833,33,,3.59505081,,,,69.532,12.42131877,14.31569393,103.5618476,2.676235314,0.309791678,3.741421049,48.301,9409632,59.658,447,4058000000,6045000000,31.36580848,1.098898643,25.5,-0.989914,,3.507,,22,9.629016958,,15
2015,Canada,CAN,100,99.58907,-2.331902701,1.26266E+12,0.31900999,9.685,,0.342811365,4.552485407,0.291590005,0.119820076,108.6720092,1.845864892,0.4,,10.74362469,92.24427795,,,61.264,17.05977868,19.56936363,102.5083876,1.125241361,-0.867651312,1.709945834,64.245,19690129,81.81560976,12,4.10062E+11,4.30124E+11,53.97887832,1.152709374,10.3,1.26233685,5.321,6.95,6.945,100,5.778199381,55.99158378,11
2015,Cayman Islands,CYM,100,,,,5.126009941,13.044,,,,9.508747101,,103.5896018,0.973423421,,,,,29.86387062,90.19631958,,,,,-2.347527702,0.341900568,,,,,,65000000,986000000,22.3229114,,,1.1286937,2.52,,4.24,,,,2
2015,Central African Republic,CAF,12.71299076,,6.304825965,1414004962,,160.531,3600,0.465582858,18.06023114,,44.48104085,133.0527731,-1.326884508,181.3,,5.03434181,,,,66.617,9.306558442,,119.0097268,1.402970171,2.708263108,,52.907,1750494,52.793,909,86000000,346000000,25.47431593,1.575316779,38.1,-1.89358747,,6.011,,0.6,9.06562122,,9
2015,Chad,TCD,7.7,79.35908,-11.5255446,8459709990,60.64170837,161.833,3800,0.886424054,7.679577611,20.65583992,20.20182448,116.6851394,-1.381444931,150.4,,4.52395248,,,,60.985,,,106.924393,4.377126651,-8.480017258,,40.57,4495591,51.589,1125,2426000000,3700000000,55.94320145,2.018821845,23.6,-0.973281741,,0.931,,4.2,8.727550679,,11
2015,Channel Islands,CHI,100,,,,,12.91638341,,,,,1.063202192,,,,,,,,,54.579,,,,,,,50.329,81524,81.433,,,,,,,,,7.973,,,,,
2015,Chile,CHL,99.714844,93.47354,5.750245108,2.01607E+11,3.319590092,40.067,3300,1.277709038,7.365740535,2.723210096,1.198987837,118.401419,1.183169365,5.9,44.91270209,8.30269146,,13.10313988,56.90999985,56.012,21.63481488,22.73386142,100.9669515,4.348773532,4.954365527,2.344695538,36.021,8566113,79.746,16,62035000000,62388000000,51.31895954,1.909623355,11.6,0.424871743,5.054,6.49,6.605,100,7.805456514,,12
2015,China,CHN,100,,7.349532992,8.29671E+12,,15.327,,0.364155898,7.066187604,,12.28860183,114.9221228,-0.299674153,1.7,,4.93827963,,,,66.078,,45.41758943,97.22569708,1.437023809,-0.002944094,0.66010605,52.955,780709584,76.977,26,2.27347E+12,1.67957E+12,35.73663652,1.776771069,16.8,-0.552559674,,4.65,,70.6,7.525894765,,11
2015,Colombia,COL,98.186898,96.38124,4.253540968,2.47103E+11,4.576509953,69.796,8500,2.01444876,8.701033365,3.396950006,3.976943851,117.5883756,-0.352239668,14.3,10.6573572,7.52338505,74.78050995,10.30488014,45.5,61.276,26.81567706,17.36986727,107.0603411,4.989831158,2.449328421,27.12876441,51.399,23882464,76.257,70,35691000000,54058000000,30.57967058,3.109960084,10.3,-1.072663784,10.61,8.57,8.572,89.6,16.22133044,53.27858747,14
2015,Comoros,COM,74.08176422,,6.42191433,876930850.4,,66.546,100,,10.87901704,,4.461239077,,-0.77018398,89.7,,4.60089922,99.99887085,,,42.232,,13.4766404,117.5325555,,-0.522859923,,14.509,194996,62.896,261,17000000,214000000,23.91231077,,21.4,-0.24447161,,4.865,,6.3,10.77297746,,6
2015,"Congo, Dem. Rep.",COD,16.5844593,,8.587921444,25492178588,,116.739,22000,0.480940653,,,20.06121109,130.0965343,-1.310912609,29.3,,3.96921396,,,,63.101,,12.30906285,103.8812954,0.744198995,-1.155878593,,35.885,27914047,58.49,578,8685000000,8068000000,44.1825246,1.295639749,24.3,-2.138853312,,4.435,,3.9,8.771270321,,12
2015,"Congo, Rep.",COG,44.33460999,,-15.82399376,7462515049,,115.052,6900,0.600584369,9.063081937,50.12754822,3.92405262,116.4026191,-1.270935655,52.3,,2.45668483,,7.823019981,19.99044991,54.229,14.89587147,40.60244426,135.606624,3.169097968,-17.25398754,,42.999,1998054,63.233,360,8623000000,10550000000,154.1878791,,24.6,-0.5291273,,20.275,,25.2,8.524896033,,10
2015,Costa Rica,CRI,99.409804,97.81775,5.842278046,51139413620,9.37045002,55.253,1000,0.411732355,7.887166048,5.907519817,2.350515672,121.5044043,0.687304258,11.1,15.66320611,7.59196186,,21.30458069,35.72999954,57.521,28.55489407,14.68458318,100.7622462,0.801982005,3.955215396,11.37839559,45.731,2380187,79.086,20,9422000000,16273000000,45.5246732,,9.8,0.669974029,5.848,8.42,8.415,94.3,11.59661041,,10
2015,Cote d'Ivoire,CIV,62.6,76.73595,8.164955275,43312710567,53.23157501,112.919,11000,0.29009448,,27.29873085,13.5581498,110.8840563,-0.462348998,18.6,7.922548506,3.21990895,94.10917664,,,63.13,13.45459122,22.43282925,98.00637716,1.251499548,4.775682373,,45.159,8617882,57.762,530,11730000000,9532000000,46.4083763,1.243927247,23.6,-0.835078061,,2.537,,23.1,9.147460689,,15
2015,Croatia,HRV,100,98.49112,6.053921976,42022305888,1.333660007,9.784,100,0.978027337,21.07165277,1.420869946,1.929763398,107.372942,0.200334981,3.4,,6.70067848,95.60809326,,,44.198,41.3595876,22.52038419,99.7893457,-0.464499005,0.091906789,0.869603026,33.183,1896675,77.27560976,6,12925000000,20571000000,65.8626485,1.760576686,17.6,0.586513638,9.24,16.18,16.175,100,5.199483945,95.87762257,14
2015,Cuba,CUB,98.95500946,94.08411,5.173085935,74925815421,5.595580101,50.275,1800,1.426502258,,2.771290064,1.490755446,,0.038489599,,,12.81401348,,,,54.68,,,97.31926439,,3.439048763,5.458604816,40.93,5292666,77.772,39,3350000000,11702000000,17.27478056,3.083791445,16.6,0.634750009,,2.4,2.4,92.9,7.898083011,,7
2015,Curacao,CUW,100,,,,,31.645,,,,,,108.0836796,,,,,,,,,,12.22517865,111.325313,-0.47654205,-0.476488483,,,,78.07560976,,466000000,1532000000,65.32017716,,,,,,11.71,,,,
2015,Cyprus,CYP,100,97.82834,7.629903347,17093866473,1.867750049,5.446,100,2.052274242,9.869105672,1.399760008,1.305771879,101.72853,0.972112,12.5,,6.81669092,95.87896729,25.5467205,69.05065155,53.004,39.36649598,13.35807929,97.56912326,-2.096997691,-0.754048101,1.263391955,37.984,621262,80.966,42,3295000000,7023000000,51.99951604,1.647667627,9.7,0.542449117,12.151,15.03,15.026,100,4.815926395,,8
2015,Czechia,CZE,100,88.69953,6.387605666,1.3608E+11,0.278340012,11.626,,0.471797615,7.49087864,2.117660046,0.602141646,107.4807382,0.468281865,6.7,,7.19641495,92.13555908,19.34180069,89.77071381,56.419,33.25829802,27.09377506,94.05810725,0.309364548,0.99227616,0.83620005,32.48,5309480,78.57804878,4,1.57878E+11,1.41364E+11,159.1432992,0.946582096,15.6,0.970251083,2.381,5.05,5.048,100,4.984689267,,14
2015,Denmark,DNK,100,98.68864,2.628831575,2.60292E+11,0.724629998,3.561,200,0.573330331,4.993085322,0.625270009,0.315291936,107.1332917,2.186062336,0.2,,10.34411812,,30.38372993,77.74913788,57.469,40.44420085,28.87395985,93.21187101,0.452034154,0.433060802,1.091973012,58.448,2895364,80.70243902,6,95457000000,85623000000,59.82692794,1.111446012,11.9,0.887059271,4.617,6.28,6.278,100,3.491012684,,11
2015,Djibouti,DJI,59.13337708,60.7187,10.0234987,2085118765,57.87141037,23.267,200,5.996342,5.25704229,52.12482834,5.266093103,112.4791057,-0.697723746,196.6,,3.07556486,,,,23.986,,29.76112767,77.52084132,-0.847389734,1.807100821,,15.308,215965,61.957,244,134000000,871000000,41.45369598,,22.3,-0.44767192,,26.105,,8.2,9.274712591,,7
2015,Dominica,DMA,96.73849487,,,445063829.5,6.609690189,41.114,,,3.999387824,2.960750103,,102.4031963,0.606966794,15,,5.15941811,,,,,,6.285677096,113.139816,-0.843826985,6.819833773,12.85594909,,,68.727,,30000000,214000000,45.12359674,,,1.054432034,,,,89.5,,,3
2015,Dominican Republic,DOM,98.560364,95.53493,11.26803337,64844273924,1.99416995,95.116,3500,1.551532272,9.057908632,4.465069771,2.242429843,119.4449959,-0.873490095,15.3,6.601053817,4.72216797,,,37.59999847,57.291,15.20549755,21.34689757,104.6479131,0.836746347,2.471885977,,44.056,4579344,72.953,99,9442000000,16907000000,37.02531317,0.643674978,21.5,0.227570921,6.12,7.61,7.605,89.1,11.8261361,,12
